,Data,Vendedor,Cargo,Cliente,UF,Vendas
285,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,AC,8429.06
286,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,AL,5813.7
287,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,CE,8889.07
288,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,GO,3903.88
289,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,MS,2293.03
290,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,PE,9548.52
291,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,PI,8171.46
292,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,PR,2744.79
293,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,RJ,6142.54
294,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,RO,6188.74
295,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Clarim Diário,RR,9904.11
296,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,AC,4437.6
297,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,AL,3070.45
298,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,AM,9399.32
299,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,AP,4607.95
300,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,CE,8037.75
301,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,ES,3027.68
302,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,GO,4728.59
303,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,MG,8679.31
304,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,MS,5069.72
305,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,MT,6417.96
306,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,PB,1875.85
307,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,PI,4234.89
308,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,RN,7220.53
309,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,RS,1764.6
310,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,SC,4219.61
311,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,SE,7504.19
312,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,SP,9359.05
313,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,Cyberdyne Systems,TO,9588.04
314,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",AC,9835.03
315,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",BA,3688.94
316,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",GO,2248.79
317,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",MS,7221.91
318,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",MT,9459.68
319,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",PA,2948.36
320,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",PE,6991.34
321,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",PI,7839.66
322,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",PR,5448.76
323,2014-01-03,Alan de Castro,Coordenador de Vendas Jr.,"WarioWare, Inc.",RJ,7212.65
