,Data,Vendedor,Cargo,Cliente,UF,Vendas
48,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,AC,1410.91
49,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,ES,9926.54
50,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,GO,8556.06
51,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,MS,2115.02
52,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,MT,3479.95
53,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,PA,7645.4
54,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,PB,6150.18
55,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,PE,8787.64
56,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,PI,3595.21
57,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,PR,2314.27
58,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,RJ,2993.61
59,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,RN,3955.73
60,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,SC,1473.3
61,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Hanso Foundation,TO,5769.72
62,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,AL,2507.84
63,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,AM,6537.15
64,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,AP,2722.5
65,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,BA,8243.21
66,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,CE,9308.52
67,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,MT,8141.46
68,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,PB,3252.9
69,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,PE,1454.44
70,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,RJ,6388.3
71,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,RO,1146.96
72,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,RS,6654.32
73,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,SC,6013.27
74,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,SE,8046.91
75,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,SP,2179.24
76,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,InGen,TO,3385.42
77,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,AM,5923.1
78,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,BA,7130.85
79,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,MA,6887.13
80,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,MT,6813.42
81,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,PA,9646.26
82,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,PB,2234.99
83,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,RN,6724.14
84,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,RO,2902.79
85,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,SE,5229.09
86,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,SP,2487.18
87,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Planeta Diário,TO,6671.83
88,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,AM,4722.73
89,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,AP,1086.79
90,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,MG,4521.87
91,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,MT,4748.32
92,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,PB,1531.26
93,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,PE,2934.3
94,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,RO,9017.15
95,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,RR,7864.46
96,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,SE,9927.93
97,2014-01-01,João Miguel Ferreira,Coordenador de Vendas Pl.,Wolfram & Hart,TO,4741.88
778,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,AC,1565.85
779,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,AM,7616.56
780,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,AP,7912.12
781,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,BA,2087.64
782,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,CE,9743.71
783,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,ES,9784.23
784,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,MA,7685.56
785,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,MG,8819.63
786,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,PA,5457.99
787,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,PB,8693.44
788,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,PR,1909.92
789,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,RN,6876.03
790,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,RS,5478.98
791,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,SP,2065.44
792,2014-01-07,João Miguel Ferreira,Coordenador de Vendas Pl.,Daily Star,TO,6178.58
1209,2014-01-11,João Miguel Ferreira,Coordenador de Vendas Pl.,Grupo Capivara,AC,9250.53
1210,2014-01-11,João Miguel Ferreira,Coordenador de Vendas Pl.,Grupo Capivara,AL,4699.54
1211,2014-01-11,João Miguel Ferreira,Coordenador de Vendas Pl.,Grupo Capivara,BA,6878.44
1212,2014-01-11,João Miguel Ferreira,Coordenador de Vendas Pl.,Grupo Capivara,GO,5235.35
1213,2014-01-11,João Miguel Ferreira,Coordenador de Vendas Pl.,Grupo Capivara,MA,4598.73
1214,2014-01-11,João Miguel Ferreira,Coordenador de Vendas Pl.,Grupo Capivara,MG,8698.6
1215,2014-01-11,João Miguel Ferreira,Coordenador de Vendas Pl.,Grupo Capivara,MS,9484.44
