,Data,Vendedor,Cargo,Cliente,UF,Vendas
276,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",ES,3710.18
277,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",MT,9648.3
278,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",PB,2054.36
279,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",PE,8651.77
280,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",PI,2608.08
281,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",PR,2181.17
282,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",RO,6221.08
283,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",RR,5327.15
284,2014-01-02,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"Crane, Poole & Schmidt",SC,9397.65
521,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,AL,5103.43
522,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,AP,8362.55
523,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,BA,6940.17
524,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,CE,6969.31
525,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,ES,1632.2
526,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,GO,8462.2
527,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,MA,8032.37
528,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,MS,3008.45
529,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,PI,1706.19
530,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,RJ,2918.46
531,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,RO,8731.95
532,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,RR,2333.77
533,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,SE,8740.53
534,2014-01-04,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Planet Express,SP,7217.39
622,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,AC,4000.9
623,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,AM,1569.19
624,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,MA,8578.4
625,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,MG,5715.48
626,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,MT,9481.16
627,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,PB,7229.94
628,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,PE,1043.21
629,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,PI,3549.95
630,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,RJ,7789.96
631,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,RN,4853.09
632,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,RO,9641.39
633,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,SC,8283.79
634,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,SE,6381.13
635,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,SP,6176.99
636,2014-01-05,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,Weyland-Yutani,TO,9580.07
808,2014-01-07,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"WarioWare, Inc.",AC,9121.54
809,2014-01-07,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"WarioWare, Inc.",AL,1815.01
810,2014-01-07,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"WarioWare, Inc.",AM,4992.68
811,2014-01-07,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"WarioWare, Inc.",AP,3832.31
812,2014-01-07,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"WarioWare, Inc.",CE,9289.07
813,2014-01-07,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"WarioWare, Inc.",ES,7218.42
814,2014-01-07,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"WarioWare, Inc.",GO,5601.62
815,2014-01-07,Pedro Lucas Ferreira dos Santos,Coordenador de Vendas Sr.,"WarioWare, Inc.",MS,5769.96
