,Data,Vendedor,Cargo,Cliente,UF,Vendas
11,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,AC,8589.86
12,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,AP,1878.9
13,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,GO,2850.8
14,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,MG,8811.6
15,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,MS,8790.84
16,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PA,8179.57
17,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PB,3155.32
18,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PR,1803.01
19,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,RJ,7630.57
20,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,RO,3166.47
21,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,SC,8014.61
22,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,Daily Star,SP,2930.33
23,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,AC,1642.23
24,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,AM,4370.46
25,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,BA,9132.55
26,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,GO,1792.4
27,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,MA,5917.42
28,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,MG,4240.76
29,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,MT,5706.1
30,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,PB,6911.08
31,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,PR,9594.82
32,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,RN,3692.89
33,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,RO,6715.2
34,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,RR,4070.36
35,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,RS,5626.32
36,2014-01-01,Bryan da Rocha,Gerente Regional Jr.,InGen,SC,8041.58
194,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,AC,2506.64
195,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,AM,2606.94
196,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,AP,6423.56
197,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,CE,1252.08
198,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,MA,6006.58
199,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,MG,2336.99
200,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,MT,4542.39
201,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PA,2164.85
202,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PE,2874.04
203,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PR,4505.86
204,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,RN,4294.55
205,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,RO,5023.89
206,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,RR,2372.68
207,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,RS,2274.64
208,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Daily Star,SE,3676.01
209,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,AL,5357.2
210,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,AM,8865.01
211,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,BA,3916.3
212,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,ES,7878.26
213,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,MA,1011.7
214,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,MS,2807.16
215,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,MT,5823.96
216,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,PA,5582.91
217,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,PB,9314.88
218,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Stark Industries,RS,8854.62
219,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,AC,6428.9
220,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,BA,5802.28
221,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,MA,8325.34
222,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,MS,7280.84
223,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,PB,5619.28
224,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,PE,6659.22
225,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,PI,6310.71
226,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,PR,7640.38
227,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,RO,1294.41
228,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,SC,3781.46
229,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,SP,9342.51
230,2014-01-02,Bryan da Rocha,Gerente Regional Jr.,Wayne Enterprises,TO,3263.8
496,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,AC,7684.64
497,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,AL,8637.82
498,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,AP,4024.02
499,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,BA,7527.31
500,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,CE,3200.72
501,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,ES,6147.06
502,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,MG,9854.02
503,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,MS,4515.86
504,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,MT,7364.22
505,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,PB,4401.17
506,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,RO,8332.02
507,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,RS,4964.16
508,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,SC,7822.05
509,2014-01-04,Bryan da Rocha,Gerente Regional Jr.,Weyland-Yutani,SE,9926.5
649,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,BA,4207.88
650,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,GO,7545.44
651,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PA,1615.33
652,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PB,5860.5
653,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PI,7894.5
654,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,PR,6833.37
655,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,RR,4564.75
656,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,RS,3691.08
657,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,SP,7691.8
658,2014-01-06,Bryan da Rocha,Gerente Regional Jr.,Daily Star,TO,1361.7
840,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,AC,6017.23
841,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,AL,7102.36
842,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,AM,5349.65
843,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,GO,7393.52
844,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,MG,5414.36
845,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,MS,2037.43
846,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,PA,6775.26
847,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,PB,9630.34
848,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,RJ,3020.99
849,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,RR,3790.15
850,2014-01-08,Bryan da Rocha,Gerente Regional Jr.,ACME,RS,4191.18
