,Data,Vendedor,Cargo,Cliente,UF,Vendas
186,2014-01-02,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,AC,2323.13
187,2014-01-02,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,AL,3161.72
188,2014-01-02,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,AM,6446.68
189,2014-01-02,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,BA,7881.91
190,2014-01-02,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,ES,7661.35
191,2014-01-02,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,MT,9090.36
192,2014-01-02,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,PE,6259.13
193,2014-01-02,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,PR,7769.63
328,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,AM,7253.6
329,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,AP,1788.42
330,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,BA,6967.89
331,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,CE,7028.85
332,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,ES,6303.55
333,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,MS,8419.93
334,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,MT,8734.78
335,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,PR,5305.74
336,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,RO,8457.79
337,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,RS,7524.0
338,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,SE,9885.02
339,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,SP,3857.1
340,2014-01-03,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,TO,9002.67
459,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,AL,9911.85
460,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,AM,6876.92
461,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,AP,2135.04
462,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,MA,5817.9
463,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,MT,5923.27
464,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,PA,1494.92
465,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,PB,6880.18
466,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,PE,5060.02
467,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,PR,8285.54
468,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,RN,8332.36
469,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,RO,9530.93
470,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,RR,1668.48
471,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,RS,2080.36
472,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,SC,7791.09
473,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,SE,2736.33
474,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Planeta Diário,TO,6968.73
475,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,BA,3478.1
476,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,GO,3351.53
477,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,MA,1841.02
478,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,MT,9571.82
479,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,PB,8250.61
480,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,PE,3158.83
481,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,RJ,3550.11
482,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,RN,2253.04
483,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,RO,9351.62
484,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,SC,7126.1
485,2014-01-04,Ana Clara Neves Pinto,Gerente Regional Pl.,Stark Industries,TO,2468.95
769,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,AC,6835.56
770,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,AL,7302.71
771,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,CE,1542.46
772,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,ES,2449.93
773,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,GO,6335.04
774,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,PA,2340.83
775,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,PB,5137.49
776,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,PR,6574.47
777,2014-01-07,Ana Clara Neves Pinto,Gerente Regional Pl.,Umbrella Corporation,SE,4691.65
933,2014-01-09,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,AL,2758.15
934,2014-01-09,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,AM,5713.72
935,2014-01-09,Ana Clara Neves Pinto,Gerente Regional Pl.,Daily Star,BA,5094.71
