,Data,Vendedor,Cargo,Cliente,UF,Vendas
436,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,AC,7209.98
437,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,AL,1983.81
438,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,AP,4743.33
439,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,BA,5592.94
440,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,MA,6701.54
441,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,PE,1212.85
442,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,PI,2159.29
443,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,RN,3046.4
444,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,RO,7568.64
445,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Clarim Diário,RS,2569.48
446,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,AC,2304.6
447,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,AM,9046.13
448,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,AP,4352.21
449,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,ES,1584.76
450,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,MG,4684.22
451,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,MS,2128.85
452,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,MT,1842.72
453,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,PA,8323.25
454,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,PE,8719.31
455,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,PI,8532.9
456,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,SC,1931.51
457,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,SP,9422.4
458,2014-01-03,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Stark Industries,TO,6471.04
612,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,AC,3916.81
613,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,AP,7677.05
614,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,BA,3176.06
615,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,CE,7163.61
616,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,PI,2233.26
617,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,PR,9257.78
618,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,RJ,9842.72
619,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,RN,4402.23
620,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,RR,3067.79
621,2014-01-05,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,Planet Express,TO,4072.7
726,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",AC,2345.03
727,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",AL,7097.02
728,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",AM,1958.38
729,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",BA,1453.75
730,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",CE,1560.39
731,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",GO,4316.17
732,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",MG,2695.2
733,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",PA,5923.17
734,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",PB,8810.91
735,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",PI,7304.22
736,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",RO,3675.19
737,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",RR,5288.85
738,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",SP,3184.93
739,2014-01-06,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,"Crane, Poole & Schmidt",TO,6486.58
1267,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,AL,6263.12
1268,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,BA,8655.52
1269,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,CE,7318.45
1270,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,ES,1523.1
1271,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,MA,7613.31
1272,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,PI,3539.48
1273,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,PR,3496.72
1274,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,RJ,1812.41
1275,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,RN,9144.19
1276,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,RO,5058.28
1277,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,RS,9516.91
1278,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,SE,7879.22
1279,2014-01-11,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,TO,9741.34
1373,2014-01-12,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,AL,9808.86
1374,2014-01-12,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,AM,5714.26
1375,2014-01-12,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,BA,7007.22
1376,2014-01-12,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,MA,7543.89
1377,2014-01-12,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,MG,2782.83
1378,2014-01-12,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,PA,5415.94
1379,2014-01-12,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,PR,5049.76
1380,2014-01-12,Kaique Monteiro Gonçalves,Supervisor de Vendas Jr.,ACME,RN,5878.3
