,Data,Vendedor,Cargo,Cliente,UF,Vendas
0,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,AL,3276.2
1,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,AP,3005.86
2,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,MA,8568.54
3,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,MG,1344.27
4,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,MS,7585.04
5,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,PA,2919.29
6,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,PB,1951.1
7,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,PE,1799.41
8,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,RN,7043.24
9,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,SP,6330.67
10,2014-01-01,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,TO,2336.88
341,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,AC,9827.53
342,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,AL,2033.48
343,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,AP,3319.5
344,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,CE,4739.87
345,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,GO,7726.69
346,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,PA,3325.32
347,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,PE,8578.5
348,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,PI,6949.25
349,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,RN,7821.62
350,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,SC,4150.24
351,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,SP,3355.86
352,2014-01-03,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,TO,5299.41
486,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,BA,8138.62
487,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,ES,7317.24
488,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,GO,7738.5
489,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,MG,5437.93
490,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,MS,3907.15
491,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,PI,5915.0
492,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,PR,8974.51
493,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,RN,7983.11
494,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,SC,2733.34
495,2014-01-04,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,SE,7916.21
549,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,AC,6902.12
550,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,AL,7554.56
551,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,CE,1168.18
552,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,ES,2864.62
553,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,MS,9912.31
554,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,MT,4873.66
555,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,PA,7895.29
556,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,PB,7766.0
557,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,PE,8618.64
558,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,PI,1622.11
559,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,RO,5710.63
560,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,RR,1899.47
561,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,SE,1883.94
562,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,SP,9042.51
563,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,NightMare Enterprises,TO,6902.44
564,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,Omni Consumer Products,PA,4658.91
565,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,Omni Consumer Products,PI,9150.28
566,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,Omni Consumer Products,PR,1476.11
567,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,Omni Consumer Products,RR,4150.55
568,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,Omni Consumer Products,RS,3658.31
569,2014-01-05,Bernardo de Sousa,Supervisor de Vendas Pl,Omni Consumer Products,SC,5923.07
637,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,AL,8927.36
638,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,AM,6696.56
639,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,BA,1655.03
640,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,CE,8308.5
641,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,GO,9421.87
642,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,MA,1781.12
643,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,PA,5033.58
644,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,PE,4391.79
645,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,PI,4079.91
646,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,RN,5165.6
647,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,SP,8459.34
648,2014-01-06,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,TO,8787.55
965,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,AP,2343.85
966,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,BA,5553.38
967,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,GO,9660.66
968,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,MA,4160.65
969,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,PE,4766.82
970,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,RR,8713.7
971,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,RS,8319.23
972,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,SE,7233.63
973,2014-01-09,Bernardo de Sousa,Supervisor de Vendas Pl,Queen Industries,SP,7272.95
1118,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,AP,3768.9
1119,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,BA,2945.0
1120,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,CE,1280.03
1121,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,GO,9097.99
1122,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,MG,7775.56
1123,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,MT,2653.09
1124,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,PA,1787.54
1125,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,PB,9336.29
1126,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,PI,6124.34
1127,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,RO,7901.86
1128,2014-01-10,Bernardo de Sousa,Supervisor de Vendas Pl,LexCorp,SP,4507.86
1190,2014-01-11,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,GO,7149.25
1191,2014-01-11,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,MA,1872.11
1192,2014-01-11,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,PI,8921.11
1193,2014-01-11,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,RJ,7724.07
1194,2014-01-11,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,RR,3827.88
1195,2014-01-11,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,RS,7623.29
1196,2014-01-11,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,SC,7417.66
1197,2014-01-11,Bernardo de Sousa,Supervisor de Vendas Pl,ACME,SE,3802.61
