,Data,Vendedor,Cargo,Cliente,UF,Vendas
37,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,AL,9939.75
38,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,AP,6643.69
39,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,BA,5428.11
40,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,MA,2360.12
41,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,MT,4179.41
42,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,PE,9240.29
43,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,PI,7840.01
44,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,PR,2627.05
45,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,RN,3838.64
46,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,RS,1867.94
47,2014-01-01,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,SP,7541.22
353,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,AC,3919.54
354,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,AL,5735.22
355,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,ES,8863.61
356,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,GO,8069.07
357,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,MA,7577.69
358,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,MG,1197.51
359,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,MS,5758.63
360,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,MT,9733.88
361,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,PB,7227.61
362,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,PE,3066.88
363,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,PI,2425.05
364,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,PR,9674.67
365,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,RO,3155.65
366,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,RR,9917.46
367,2014-01-03,João Antunes,Supervisor de Vendas Sr,Clarim Diário,SC,3304.55
368,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,AL,5162.8
369,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,AM,3613.1
370,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,BA,3754.48
371,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,CE,5099.96
372,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,MA,9797.19
373,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,MS,9817.54
374,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,MT,4019.69
375,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,PB,7176.45
376,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,RJ,4157.26
377,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,RN,4009.5
378,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,RS,7281.08
379,2014-01-03,João Antunes,Supervisor de Vendas Sr,Oceanic Airlines,TO,1948.5
570,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,AM,5600.37
571,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,BA,3874.64
572,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,CE,4302.01
573,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,MA,6643.84
574,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,MG,9931.74
575,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,MS,9840.12
576,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,PB,5004.14
577,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,PR,9221.61
578,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,RN,9997.07
579,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,RR,8841.18
580,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,SC,2117.61
581,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,SP,6431.07
582,2014-01-05,João Antunes,Supervisor de Vendas Sr,Planeta Diário,TO,5676.96
659,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,AC,7574.68
660,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,AL,3648.39
661,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,AM,9200.63
662,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,CE,6032.61
663,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,GO,4189.47
664,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,MA,1527.66
665,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,PA,7095.2
666,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,PE,3473.82
667,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,PR,2768.5
668,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,RJ,5747.36
669,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,RN,9795.03
670,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,RR,6730.48
671,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,RS,8778.11
672,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,SP,7208.66
673,2014-01-06,João Antunes,Supervisor de Vendas Sr,Weyland-Yutani,TO,8750.85
1323,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,AM,5046.0
1324,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,CE,7969.82
1325,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,ES,5534.27
1326,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,GO,3551.89
1327,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,MG,3969.54
1328,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,MT,8130.71
1329,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,PB,8617.68
1330,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,RN,4266.32
1331,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,RO,6838.55
1332,2014-01-12,João Antunes,Supervisor de Vendas Sr,Grupo Capivara,SC,8491.72
