,Data,Vendedor,Cargo,Cliente,UF,Vendas
98,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,AL,4887.77
99,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,BA,5274.23
100,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,ES,5596.66
101,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,GO,4667.59
102,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,MG,9682.45
103,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,MS,1557.37
104,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,PA,9660.94
105,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,PE,9917.33
106,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,PR,2596.98
107,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,RN,9391.34
108,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,RO,1946.8
109,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,RR,5087.81
110,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,RS,4757.3
111,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,SC,7758.29
112,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,TO,6044.97
113,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,AC,8664.85
114,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,AL,3075.29
115,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,ES,8648.71
116,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,MG,3270.16
117,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,MS,9116.06
118,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,PB,5197.83
119,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,PI,9687.75
120,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,RJ,1413.45
121,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,RO,2186.65
122,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,RR,4846.17
123,2014-01-01,João Vitor Monteiro,Vendedor Jr.,Civil Emergency and Defense Agency,SE,4913.16
