,Data,Vendedor,Cargo,Cliente,UF,Vendas
174,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,AM,4015.0
175,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,AP,9631.03
176,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,CE,7970.49
177,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,GO,8057.78
178,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,MA,2001.6
179,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,MG,4379.88
180,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,MS,8209.88
181,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,PA,3658.08
182,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,PB,5540.42
183,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,PI,4630.83
184,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,SE,2771.23
185,2014-01-01,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,TO,1158.92
264,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,AC,4046.79
265,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,BA,6761.85
266,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,ES,8519.1
267,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,GO,5387.41
268,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,MA,5542.06
269,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,MG,1764.12
270,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,PA,5553.43
271,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,PI,6511.36
272,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,RN,8691.82
273,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,RO,1893.22
274,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,RR,2026.17
275,2014-01-02,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,RS,8138.86
918,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,AC,4685.36
919,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,CE,7259.74
920,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,MA,5889.47
921,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,MS,5520.61
922,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,PA,5784.02
923,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,PE,8084.61
924,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,PI,4442.5
925,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,PR,4774.39
926,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,RN,1905.7
927,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,RO,6505.94
928,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,RR,6912.49
929,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,SC,6466.13
930,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,SE,8642.54
931,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,SP,5407.13
932,2014-01-08,Liz Azevedo Santos,Vendedor Pl.,Cyberdyne Systems,TO,7362.23
1083,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,AC,8677.97
1084,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,AL,4560.9
1085,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,AP,1279.24
1086,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,BA,5170.7
1087,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,CE,2670.83
1088,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,ES,4597.3
1089,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,GO,2558.44
1090,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,MA,9741.83
1091,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,MS,1570.4
1092,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,MT,9059.49
1093,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,PE,8778.36
1094,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,RJ,3209.68
1095,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,RO,7485.98
1096,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,RS,7089.54
1097,2014-01-09,Liz Azevedo Santos,Vendedor Pl.,Weyland-Yutani,SP,9667.43
1166,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,AL,4786.44
1167,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,AP,3847.31
1168,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,BA,1154.54
1169,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,CE,7730.05
1170,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,MA,7463.64
1171,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,MG,4102.29
1172,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,MT,2245.89
1173,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,PE,9626.11
1174,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,RJ,1239.6
1175,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,RR,3867.75
1176,2014-01-10,Liz Azevedo Santos,Vendedor Pl.,Grupo Capivara,RS,9990.32
1280,2014-01-11,Liz Azevedo Santos,Vendedor Pl.,Daily Star,AP,5303.1
1281,2014-01-11,Liz Azevedo Santos,Vendedor Pl.,Daily Star,MG,1234.27
1282,2014-01-11,Liz Azevedo Santos,Vendedor Pl.,Daily Star,MT,1664.45
1283,2014-01-11,Liz Azevedo Santos,Vendedor Pl.,Daily Star,PA,6654.98
1284,2014-01-11,Liz Azevedo Santos,Vendedor Pl.,Daily Star,PB,8898.41
