,Data,Vendedor,Cargo,Cliente,UF,Vendas
162,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,AC,1571.58
163,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,AM,7162.28
164,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,AP,6330.56
165,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,MA,7491.26
166,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,MG,5217.04
167,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,MT,6105.25
168,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,PA,4030.09
169,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,PE,1302.63
170,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,PR,7942.07
171,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,RO,5016.01
172,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,SE,2969.91
173,2014-01-01,Lara Cruz,Vendedor Sr.,Queen Industries,TO,1510.55
510,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,AC,4557.52
511,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,BA,6574.95
512,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,ES,4072.33
513,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,MS,2862.46
514,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,PA,8293.59
515,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,RJ,6170.86
516,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,RN,3177.12
517,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,RO,2622.87
518,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,RS,2866.67
519,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,SC,8553.0
520,2014-01-04,Lara Cruz,Vendedor Sr.,Wolfram & Hart,SE,4817.2
740,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,AC,7646.88
741,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,AM,4812.84
742,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,AP,5683.87
743,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,BA,2054.15
744,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,ES,9330.28
745,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,MA,9634.21
746,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,MS,8518.26
747,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,PI,3766.78
748,2014-01-06,Lara Cruz,Vendedor Sr.,Megacorporação,PR,1948.23
